label,gender,profession,ideology_binary,ideology_multiclass
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
015f536ad54d267bef6d9a08019f735f,male,journalist,right,left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
0281b081d05d7eeeca8be8cd6fbda012,male,journalist,left,moderate_left
